up
Upload #24
Reader: Noname  Site: AA
--------- upload 24 start ---------
E 2016-05-02 14:29:39.52 upload 23 complete
E 2016-05-02 14:30:37.77 parameter change: mux sequence '13'
D 2016-05-03 12:29:19.69 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 12:36:19.18 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 12:44:17.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 12:51:14.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 12:59:14.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 13:06:09.48 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 13:14:11.59 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2016-05-03 13:21:04.64 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-05-03 13:29:09.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 13:35:59.78 00:00:00.20 HR 0000_0000000180843403 A1    2  4444
D 2016-05-03 13:44:06.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-03 13:50:54.91 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 13:59:04.47 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-05-03 14:05:50.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
E 2016-05-03 14:06:00.01 11.5V 0.20A 0.83A 0.00A 0.79A 0.00A  0N  0N  0N  
D 2016-05-03 14:14:01.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 14:20:45.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 14:28:59.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-03 14:35:40.38 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 14:43:56.58 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2016-05-03 14:50:35.56 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 14:58:53.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 15:05:30.71 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 15:13:51.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 15:20:25.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 15:28:48.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 15:35:20.81 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 15:43:45.70 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 15:50:15.82 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 15:58:43.13 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
