up40
Upload #40, 860 records
Reader: Noname  Site: AA
--------- upload 40 start ---------
E 2016-03-18 10:46:10.89 upload 39 complete
E 2016-03-18 10:47:27.34 parameter change: mux sequence '1'
D 2016-03-19 03:48:17.82 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 03:52:04.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 04:03:10.90 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 04:07:00.37 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 04:18:03.78 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2016-03-19 04:21:56.67 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 04:32:56.68 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2016-03-19 04:36:52.80 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2016-03-19 04:47:49.79 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 04:51:49.12 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2016-03-19 05:02:42.90 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 05:06:45.46 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 05:17:36.04 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 05:21:41.61 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2016-03-19 05:32:29.31 00:00:00.20 HR 0000_0000000180843440 A3    2  4435
D 2016-03-19 05:36:37.90 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 05:47:22.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 05:51:34.18 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 06:02:15.47 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2016-03-19 06:06:30.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 06:17:08.52 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2016-03-19 06:21:26.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 06:32:01.76 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2016-03-19 06:36:23.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 06:46:55.20 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-19 06:51:19.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 07:01:48.72 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2016-03-19 07:06:15.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 07:16:42.42 00:00:00.20 HR 0000_0000000180843440 A3    2  4437
D 2016-03-19 07:21:11.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2016-03-19 07:31:36.59 00:00:00.00 HR 0000_0000000180843440 A3    1  4438
D 2016-03-19 07:36:08.15 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 07:46:30.91 00:00:00.00 HR 0000_0000000180843440 A3    1  4440
D 2016-03-19 07:51:04.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2016-03-19 08:01:25.61 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-03-19 08:06:00.60 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 08:16:20.11 00:00:00.20 HR 0000_0000000180843440 A3    2  4441
D 2016-03-19 08:20:56.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2016-03-19 08:31:15.20 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-03-19 08:35:52.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 08:46:10.08 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-03-19 08:50:49.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 09:01:05.20 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-03-19 09:05:45.57 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 09:16:00.22 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-03-19 09:20:41.81 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 09:30:55.67 00:00:00.00 HR 0000_0000000180843440 A3    1  4446
D 2016-03-19 09:35:38.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 09:45:51.12 00:00:00.00 HR 0000_0000000180843440 A3    1  4446
D 2016-03-19 09:50:34.14 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2016-03-19 10:00:46.55 00:00:00.00 HR 0000_0000000180843440 A3    1  4446
D 2016-03-19 10:05:30.58 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 10:15:42.19 00:00:00.20 HR 0000_0000000180843440 A3    2  4447
D 2016-03-19 10:20:27.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-19 10:30:37.82 00:00:00.00 HR 0000_0000000180843440 A3    1  4446
D 2016-03-19 10:35:23.23 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-03-19 10:45:33.63 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-03-19 10:50:19.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 11:00:29.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4449
D 2016-03-19 11:05:15.88 00:00:00.21 HR 0000_0000000180598569 A1    2  4450
D 2016-03-19 11:15:25.67 00:00:00.00 HR 0000_0000000180843440 A3    1  4449
D 2016-03-19 11:20:12.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 11:30:21.51 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-03-19 11:35:08.54 00:00:00.21 HR 0000_0000000180598569 A1    2  4450
D 2016-03-19 11:45:17.35 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-03-19 11:50:05.02 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 12:00:13.20 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-03-19 12:05:01.45 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-19 12:15:08.85 00:00:00.00 HR 0000_0000000180843440 A3    1  4447
D 2016-03-19 12:19:57.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 12:30:04.71 00:00:00.00 HR 0000_0000000180843440 A3    1  4448
D 2016-03-19 12:34:53.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 12:45:00.34 00:00:00.00 HR 0000_0000000180843440 A3    1  4447
D 2016-03-19 12:49:50.38 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-03-19 12:59:55.57 00:00:00.20 HR 0000_0000000180843440 A3    2  4445
D 2016-03-19 13:04:46.60 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-03-19 13:14:50.78 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-03-19 13:19:43.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 13:29:45.85 00:00:00.21 HR 0000_0000000180843440 A3    2  4444
D 2016-03-19 13:34:39.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 13:44:41.07 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-03-19 13:49:35.57 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-03-19 13:59:35.93 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
