ad
                           supply                    supply     clock
                            amps                      volts     volts
                        A3 0.88         EA 0.43   11.8 V     3.3 V   15:57:09.19
Rx 0.22 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:09.70
Rx 0.20 Tx                 A3 0.88 A4 0.96 EA 0.55   11.8 V     3.3 V   15:57:10.22
Rx 0.21 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:10.73

>up
Upload #15
Reader: UPSTREAM 34  Site: AA
--------- upload 15 start ---------
E 2017-05-01 14:55:43.65 upload 14 complete
E 2017-05-01 15:04:29.76 supply power ok 12.4V
E 2017-05-01 15:04:29.76 database file opened
E 2017-05-01 15:04:29.77 starting reader after power up
D 2017-05-01 23:37:59.41 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-01 23:50:40.51 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-01 23:52:56.52 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 00:05:37.03 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 00:07:53.68 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 00:20:33.44 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-05-02 00:22:50.87 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 00:35:29.97 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 00:37:48.21 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 00:50:26.32 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-05-02 00:52:45.76 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 01:05:22.84 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 01:07:43.10 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 01:20:19.21 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-05-02 01:22:40.48 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 01:35:15.77 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 01:37:37.85 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 01:50:12.10 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-05-02 01:52:35.18 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 02:05:08.64 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 02:07:32.53 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 02:20:05.22 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 02:22:29.91 00:00:00.21 HR 0000_0000000180573731 A4    2  4455
D 2017-05-02 02:35:01.95 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 02:37:27.44 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 02:49:58.46 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 02:52:24.94 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 03:04:55.16 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 03:07:22.48 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 03:19:51.68 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 03:22:19.98 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 03:34:48.37 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 03:37:17.49 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 03:49:44.88 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 04:04:41.41 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 04:07:12.52 00:00:00.00 HR 0000_0000000180573731 A4    1  8913
D 2017-05-02 04:19:38.08 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 04:34:34.78 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 04:37:07.35 00:00:00.20 HR 0000_0000000180573731 A4    2  8912
D 2017-05-02 04:49:31.32 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 04:52:04.85 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 05:04:27.82 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 05:07:02.39 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 05:19:24.36 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 05:21:59.71 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 05:34:20.85 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 05:36:56.82 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 05:49:17.18 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-05-02 05:51:53.96 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 06:04:13.91 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 06:06:51.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 06:19:10.46 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 06:21:48.26 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 06:34:07.04 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 06:36:45.23 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-02 06:49:03.55 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 06:51:42.13 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-02 07:04:00.03 00:00:00.20 HR 0000_0000000180598569 A3    2  4451
D 2017-05-02 07:06:38.82 00:00:00.20 HR 0000_0000000180573731 A4    2  4452
D 2017-05-02 07:18:56.70 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 07:21:35.68 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-02 07:33:53.36 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 07:36:32.54 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-02 07:48:49.87 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 07:51:29.47 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-02 08:03:46.78 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-02 08:06:26.37 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-02 08:18:43.47 00:00:00.21 HR 0000_0000000180598569 A3    2  4452
D 2017-05-02 08:21:23.26 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-02 08:33:40.37 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 08:36:20.35 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-02 08:48:37.24 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-02 08:51:17.21 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-02 09:03:34.30 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-02 09:06:14.49 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 09:18:31.28 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-02 09:21:11.66 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 09:33:28.69 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 09:48:25.86 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-02 09:51:06.26 00:00:00.00 HR 0000_0000000180573731 A4    1  8912
D 2017-05-02 10:03:23.11 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-02 10:06:03.68 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 10:18:20.16 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-02 10:21:00.93 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 10:33:17.61 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 10:35:58.19 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 10:48:15.07 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 10:50:55.66 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 11:03:12.52 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 11:05:53.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 11:18:09.97 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 11:20:50.55 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 11:33:07.22 00:00:00.20 HR 0000_0000000180598569 A3    2  4455
D 2017-05-02 11:35:48.00 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 11:48:04.51 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-02 11:50:45.51 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 12:03:01.62 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-02 12:05:43.21 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-05-02 12:17:58.70 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-02 12:20:40.69 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 12:32:56.20 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 12:35:38.21 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 12:47:53.75 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 12:50:35.74 00:00:00.20 HR 0000_0000000180573731 A4    2  4456
D 2017-05-02 13:02:51.29 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 13:05:33.51 00:00:00.20 HR 0000_0000000180573731 A4    2  4456
D 2017-05-02 13:17:49.01 00:00:00.00 HR 0000_0000000180598569 A3    1  4457
D 2017-05-02 13:20:31.41 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-05-02 13:32:46.55 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 13:35:29.16 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-05-02 13:47:43.88 00:00:00.20 HR 0000_0000000180598569 A3    2  4455
D 2017-05-02 13:50:27.11 00:00:00.00 HR 0000_0000000180573731 A4    1  4458
D 2017-05-02 14:02:41.61 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 14:05:25.23 00:00:00.00 HR 0000_0000000180573731 A4    1  4459
D 2017-05-02 14:17:39.33 00:00:00.00 HR 0000_0000000180598569 A3    1  4457
D 2017-05-02 14:20:23.35 00:00:00.20 HR 0000_0000000180573731 A4    2  4459
D 2017-05-02 14:32:37.30 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-02 14:35:21.91 00:00:00.21 HR 0000_0000000180573731 A4    2  4460
D 2017-05-02 14:47:35.20 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-02 14:50:20.64 00:00:00.00 HR 0000_0000000180573731 A4    1  4461
D 2017-05-02 15:02:33.34 00:00:00.00 HR 0000_0000000180598569 A3    1  4459
