
----------------------------------------
JN2112.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
06/19/12	09:02:54	00:00:00	R	0000_0000000174764773	1	4443	A1
06/19/12	09:17:48	00:00:00	R	0000_0000000174764773	2	4440	A1
06/19/12	09:32:42	00:00:00	R	0000_0000000174764773	1	4440	A1
06/19/12	09:47:37	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	10:02:31	00:00:00	R	0000_0000000174764773	2	4441	A1
06/19/12	10:17:26	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	10:32:20	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	10:47:14	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	11:02:09	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	11:17:03	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	11:31:57	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	11:46:51	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	12:01:46	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	12:16:40	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	12:31:34	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	12:46:29	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	13:01:23	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	13:16:17	00:00:00	R	0000_0000000174764773	2	4441	A1
06/19/12	13:31:12	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	13:46:06	00:00:00	R	0000_0000000174764773	2	4443	A1
06/19/12	14:01:01	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	14:15:55	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	14:30:49	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	14:45:44	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	15:00:38	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	15:15:33	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	15:30:27	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	15:45:21	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	16:00:16	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	16:15:10	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	16:30:05	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	16:44:59	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	16:59:53	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	17:14:48	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	17:29:42	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	17:44:36	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	17:59:31	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	18:14:25	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	18:29:20	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	18:44:14	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	18:59:08	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	19:14:03	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	19:28:57	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	19:43:51	00:00:00	R	0000_0000000174764773	1	4441	A1
06/19/12	19:58:46	00:00:00	R	0000_0000000174764773	1	4442	A1
06/19/12	20:13:40	00:00:00	R	0000_0000000174764773	1	4442	A1
