05/09/2012 14:42:53.42  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 14:57:48.11  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 15:12:42.82  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 15:27:37.54  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 15:42:32.23  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 15:57:26.94  00:00:00.21 R 0000_0000000174764773 A1    2  4443
05/09/2012 16:12:21.85  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 16:27:16.55  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 16:42:11.30  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 16:57:06.18  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 17:12:00.89  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 17:26:55.63  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 17:41:50.53  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 17:56:45.21  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 18:11:40.14  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 18:26:34.82  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 18:41:29.70  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 18:56:24.37  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 19:11:19.29  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 19:26:14.03  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 19:41:08.74  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 19:56:03.51  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 20:10:58.41  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 20:25:53.24  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 20:40:48.11  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 20:55:42.78  00:00:00.20 R 0000_0000000174764773 A1    2  4443
05/09/2012 21:10:37.66  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 21:25:32.56  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 21:40:27.45  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 21:55:22.35  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 22:10:17.24  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 22:25:12.00  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 22:40:06.92  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 22:55:01.89  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 23:09:56.83  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 23:24:51.58  00:00:00.00 R 0000_0000000174764773 A1    1  4443
05/09/2012 23:39:46.57  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/09/2012 23:54:41.48  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 00:09:36.37  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 00:24:31.31  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 00:39:26.23  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 00:54:21.38  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 01:09:16.34  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 01:24:11.24  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 01:39:06.13  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 01:54:01.24  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 02:08:56.13  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 02:23:50.98  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 02:38:46.05  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 02:53:40.89  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 03:08:35.98  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 03:23:31.02  00:00:00.20 R 0000_0000000174764773 A1    2  4445
05/10/2012 03:38:26.25  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 03:53:21.26  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 04:08:16.06  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/10/2012 04:23:11.06  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 04:38:06.05  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 04:53:00.89  00:00:00.21 R 0000_0000000174764773 A1    2  4444
05/10/2012 05:07:55.93  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 05:22:50.93  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 05:37:45.92  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 05:52:40.70  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 06:07:35.66  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 06:22:30.44  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/10/2012 06:37:25.35  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 06:52:20.27  00:00:00.00 R 0000_0000000174764773 A1    1  4445
05/10/2012 07:07:15.02  00:00:00.20 R 0000_0000000174764773 A1    2  4444
05/10/2012 07:22:10.01  00:00:00.00 R 0000_0000000174764773 A1    1  4444
05/10/2012 07:37:04.85  00:00:00.00 R 0000_0000000174764773 A1    1  4444
