

>

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.28 Tx A1 1.12 A2 1.14                 EA 0.69   12.4 V     3.2 V   12:05:44.82
Rx 0.27 Tx A1 1.12 A2 1.13                 EA 0.69   12.4 V     3.2 V   12:05:45.35
Rx 0.30 Tx A1 1.11 A2 1.17                 EA 0.70   12.4 V     3.2 V   12:05:45.86
Rx 0.29 Tx A1 1.12 A2 1.15                 EA 0.70   12.4 V     3.2 V   12:05:46.38
Rx 0.28 Tx A1 1.12 A2 1.16                 EA 0.69   12.4 V     3.2 V   12:05:46.89
Rx 0.30 Tx A1 1.12 A2 1.17                 EA 0.72   12.4 V     3.2 V   12:05:47.40

>up
Upload #3
Reader: Noname  Site: AA
--------- upload 3 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
D 2014-04-21 11:34:52.59 00:00:00.70 HA      900_226000011017 A2    9   110
D 2014-04-21 11:35:52.38 00:00:00.88 HR 0000_0000000178695688 A2   11   709
D 2014-04-21 11:35:55.28 00:00:00.87 HR 0000_0000000178695688 A2   11    23
D 2014-04-21 11:36:07.84 00:00:00.96 HR 0000_0000000178695688 A2   12   139
D 2014-04-21 11:36:12.32 00:00:00.09 HR 0000_0000000178695688 A2    2    41
D 2014-04-21 11:36:12.58 23:59:59.45 HR 0000_0000000178695688 A2    6     1
D 2014-04-21 11:36:14.94 00:00:00.54 HR 0000_0000000178695688 A2    7    22
D 2014-04-21 11:36:27.96 00:00:00.88 HR 0000_0000000178695688 A2   11   149
D 2014-04-21 11:36:31.11 00:00:00.79 HR 0000_0000000178695688 A2   10    26
D 2014-04-21 11:36:32.99 00:00:00.09 HR 0000_0000000178695688 A2    2    12
D 2014-04-21 11:36:33.25 00:00:00.26 HR 0000_0000000178695688 A2    4     1
D 2014-04-21 11:36:45.91 00:00:00.71 HR 0000_0000000178695688 A2    9   148
D 2014-04-21 11:36:48.05 00:00:00.70 HR 0000_0000000178695688 A2    9    16
D 2014-04-21 11:36:48.30 00:00:00.09 HR 0000_0000000180843440 A1    2  9991
D 2014-04-21 11:36:50.69 00:00:00.17 HR 0000_0000000178695688 A2    3    10
D 2014-04-21 11:36:53.31 00:00:00.70 HR 0000_0000000178695688 A2    9    40
D 2014-04-21 11:37:15.09 00:00:00.61 HR 0000_0000000178695688 A2    8   252
D 2014-04-21 11:37:25.79 00:00:00.79 HR 0000_0000000178695688 A2   10   120
D 2014-04-21 11:37:27.84 00:00:00.79 HR 0000_0000000178695688 A2   10    14
D 2014-04-21 11:38:06.57 00:00:00.80 HR 0000_0000000178695688 A2   10   455
D 2014-04-21 11:38:09.13 00:00:00.70 HR 0000_0000000178695688 A2    9    20
D 2014-04-21 11:38:25.24 00:00:00.88 HR 0000_0000000178695688 A2   11   184
D 2014-04-21 11:38:27.38 00:00:00.70 HR 0000_0000000178695688 A2    9    14
D 2014-04-21 11:38:38.65 00:00:00.97 HR 0000_0000000178695688 A2   12   126
D 2014-04-21 11:38:43.06 00:00:00.69 HR 0000_0000000178695688 A2    9    40
D 2014-04-21 11:38:57.01 00:00:00.96 HR 0000_0000000178695688 A2   12   158
D 2014-04-21 11:38:59.32 00:00:00.70 HR 0000_0000000178695688 A2    9    15
D 2014-04-21 11:39:03.78 00:00:00.97 HR 0000_0000000178695688 A2   12    44
D 2014-04-21 11:39:06.01 00:00:00.88 HR 0000_0000000178695688 A2   11    14
D 2014-04-21 11:39:38.37 00:00:00.08 HR 0000_0000000178695688 A2    2   377
D 2014-04-21 11:39:38.62 00:00:00.35 HR 0000_0000000178695688 A2    5     1
D 2014-04-21 11:39:41.41 00:00:00.00 HR 0000_0000000178695688 A2    1    28
D 2014-04-21 11:39:41.83 00:00:00.09 HR 0000_0000000178695688 A2    2     4
D 2014-04-21 11:39:43.26 00:00:00.80 HR 0000_0000000178695688 A2   10    15
D 2014-04-21 11:39:52.16 00:00:01.14 HR 0000_0000000178695688 A2   14    96
D 2014-04-21 11:39:55.48 00:00:00.79 HR 0000_0000000178695688 A2   10    25
D 2014-04-21 11:40:42.75 00:00:00.63 HA      900_226000011017 A2    8   557
D 2014-04-21 11:40:45.64 00:00:00.45 HA      900_226000011017 A2    6    26
D 2014-04-21 11:43:14.64 00:00:00.18 HR 0000_0000000180573731 A2    3  1785
D 2014-04-21 11:51:44.75 00:00:00.17 HR 0000_0000000180843440 A1    3 10747
D 2014-04-21 11:58:11.96 00:00:00.17 HR 0000_0000000180573731 A2    3 10782
D 2014-04-21 12:06:40.41 00:00:00.09 HR 0000_0000000180843440 A1    2 10761
D 2014-04-21 12:11:58.39 00:00:00.62 HA      900_226000011017 A2    8  9930
D 2014-04-21 12:12:03.03 00:00:00.44 HA      900_226000011017 A2    6    47
D 2014-04-21 12:12:07.91 00:00:00.53 HA      900_226000011017 A2    7    52
E 2014-04-21 12:18:02.29 supply power ok 12.5V
E 2014-04-21 12:18:02.29 database file opened
E 2014-04-21 12:18:02.29 starting reader after power up
D 2014-04-21 12:18:09.42 00:00:00.09 HR 0000_0000000178695688 A2    2     1
D 2014-04-21 12:18:12.10 00:00:00.87 HR 0000_0000000178695688 A2   11    30
D 2014-04-21 12:18:32.34 00:00:00.71 HA      900_226000011017 A2    9   229
D 2014-04-21 12:18:34.90 00:00:00.44 HA      900_226000011017 A2    6    21
E 2014-04-21 12:21:02.83 supply power ok 12.4V
E 2014-04-21 12:21:02.83 database file opened
E 2014-04-21 12:21:02.83 starting reader after power up
D 2014-04-21 12:21:36.04 00:00:00.00 HR 0000_0000000180843440 A1    1   326
E 2014-04-21 12:22:52.86 parameter change: mux sequence '1'
E 2014-04-21 12:22:59.71 parameter change: mux sequence '2'
E 2014-04-21 12:24:23.38 parameter change: mux sequence '12'
D 2014-04-21 12:25:25.65 00:00:00.00 HR 0000_0000000178695688 A2    1  4015
D 2014-04-21 12:25:25.90 00:00:00.00 HR 0000_0000000178695688 A2    1     2
D 2014-04-21 12:25:25.07 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:25.24 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:26.41 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:26.58 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:26.75 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:26.92 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:28.75 00:00:00.00 HR 0000_0000000178695688 A2    1    17
D 2014-04-21 12:25:28.75 00:00:00.00 HR 0000_0000000178695688 A2    1    26
D 2014-04-21 12:25:31.92 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:31.10 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:31.27 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:31.44 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:35.11 00:00:00.00 HR 0000_0000000178695688 A2    1    42
D 2014-04-21 12:25:35.28 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:35.45 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:35.62 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:35.79 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-04-21 12:25:35.04 00:00:00.00 HR 0000_0000000178695688 A2    1     2
D 2014-04-21 12:25:50.10 00:00:00.00 HA      900_226000011017 A2    1   168
D 2014-04-21 12:25:50.27 00:00:00.00 HA      900_226000011017 A2    1     1
D 2014-04-21 12:25:50.53 00:00:00.00 HA      900_226000011017 A2    1     2
D 2014-04-21 12:25:50.70 00:00:00.00 HA      900_226000011017 A2    1     1
D 2014-04-21 12:25:50.95 00:00:00.00 HA      900_226000011017 A2    1     2
D 2014-04-21 12:25:50.29 00:00:00.00 HA      900_226000011017 A2    1     3
D 2014-04-21 12:25:54.86 00:00:00.00 HA      900_226000011017 A2    1    42
D 2014-04-21 12:25:54.12 00:00:00.00 HA      900_226000011017 A2    1     2
D 2014-04-21 12:25:54.30 00:00:00.00 HA      900_226000011017 A2    1     1
D 2014-04-21 12:25:54.55 00:00:00.00 HA      900_226000011017 A2    1     2
D 2014-04-21 12:25:56.72 00:00:00.00 HA      900_226000011017 A2    1     1
D 2014-04-21 12:25:56.97 00:00:00.00 HA      900_226000011017 A2    1     2
D 2014-04-21 12:25:56.15 00:00:00.00 HA      900_226000011017 A2    1     1
D 2014-04-21 12:25:56.40 00:00:00.00 HA      900_226000011017 A2    1     2
D 2014-04-21 12:25:56.57 00:00:00.00 HA      900_226000011017 A2    1     1
D 2014-04-21 12:25:56.83 00:00:00.00 HA      900_226000011017 A2    1     2
E 2014-04-21 12:26:17.31 supply power ok 12.4V
E 2014-04-21 12:26:17.31 database file opened
E 2014-04-21 12:26:17.31 starting reader after power up
D 2014-04-21 12:26:26.15 00:00:01.06 HR 0000_0000000178695688 A2   13    33
D 2014-04-21 12:26:30.64 00:00:00.96 HR 0000_0000000178695688 A2   12    37
D 2014-04-21 12:26:45.88 00:00:00.62 HA      900_226000011017 A2    8   170
