ad
                           supply                    supply     clock
                            amps                      volts     volts
                A2 0.94                 EA 0.46   13.0 V     3.2 V   12:08:44.41
Rx 0.23 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:44.93
Rx 0.22 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:45.45

>up
Upload #14
Reader: DOWNSTREAM 12  Site: AA
--------- upload 14 start ---------
E 2017-05-11 14:49:44.85 upload 13 complete
D 2017-05-11 14:50:16.39 00:00:00.00 HR 0000_0000000180843440 A1    1   345
E 2017-05-11 14:57:41.82 supply power ok 12.7V
E 2017-05-11 14:57:41.82 database file opened
E 2017-05-11 14:57:41.82 starting reader after power up
D 2017-05-12 02:45:02.53 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 02:45:07.47 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 02:59:55.88 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-05-12 03:00:02.43 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 03:14:49.07 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-12 03:14:57.22 00:00:00.20 HR 0000_0000000180843403 A2    2  4442
D 2017-05-12 03:29:42.26 00:00:00.20 HR 0000_0000000180843440 A1    2  4434
D 2017-05-12 03:29:52.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 03:44:35.23 00:00:00.20 HR 0000_0000000180843440 A1    2  4430
D 2017-05-12 03:44:47.21 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 03:59:28.20 00:00:00.00 HR 0000_0000000180843440 A1    1  4432
D 2017-05-12 03:59:42.01 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 04:14:21.36 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-05-12 04:14:36.96 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 04:29:14.28 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 04:29:31.89 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 04:44:07.26 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 04:44:26.89 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 04:59:00.02 00:00:00.00 HR 0000_0000000180843440 A1    1  4432
D 2017-05-12 04:59:21.67 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 05:13:52.91 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 05:14:16.58 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 05:28:45.64 00:00:00.20 HR 0000_0000000180843440 A1    2  4432
D 2017-05-12 05:29:11.53 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 05:43:38.78 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 05:44:06.28 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 05:58:31.70 00:00:00.00 HR 0000_0000000180843440 A1    1  4433
D 2017-05-12 05:59:01.20 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 06:13:24.44 00:00:00.00 HR 0000_0000000180843440 A1    1  4432
D 2017-05-12 06:13:55.95 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 06:28:17.58 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
