ad
                           supply                    supply     clock
                            amps                      volts     volts
        A1 1.82                         EA 0.89   11.8 V     3.3 V   13:34:20.70
Rx 0.20 Tx A1 1.79 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.23
Rx 0.21 Tx A1 1.80 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.74
Rx 0.20 Tx A1 1.81 A2 0.73                 EA 0.72   11.8 V     3.3 V   13:34:22.26

>up
Upload #26
Reader: DOWNSTREAM 12  Site: AA
--------- upload 26 start ---------
E 2017-06-05 11:44:34.67 upload 25 complete
D 2017-06-05 11:45:41.28 00:00:00.00 HR 0000_0000000180843403 A1    1   627
E 2017-06-05 12:07:45.41 supply power ok 12.5V
E 2017-06-05 12:07:45.41 database file opened
E 2017-06-05 12:07:45.41 starting reader after power up
D 2017-06-05 20:41:57.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 20:52:59.42 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 20:56:51.93 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 21:07:53.79 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-05 21:11:45.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 21:22:47.97 00:00:00.21 HR 0000_0000000180843440 A2    2  4439
D 2017-06-05 21:26:39.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 21:37:42.32 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 21:41:33.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 21:52:36.54 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 21:56:27.23 00:00:00.20 HR 0000_0000000180843403 A1    2  4436
D 2017-06-05 22:07:30.53 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-05 22:11:21.21 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 22:22:24.72 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 22:26:15.03 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 22:37:18.97 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 22:41:08.87 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 22:52:13.12 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 22:56:02.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 23:07:07.50 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-05 23:10:56.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 23:22:01.84 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-05 23:25:50.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 23:36:56.23 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-05 23:40:44.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 23:51:50.81 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-06-05 23:55:38.08 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 00:06:45.21 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 00:10:32.08 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 00:25:25.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 00:36:33.23 00:00:00.00 HR 0000_0000000180843440 A2    1  8877
D 2017-06-06 00:40:19.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 00:51:27.62 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 00:55:13.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 01:06:21.81 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 01:10:07.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 01:21:15.85 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 01:25:01.51 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 01:36:10.04 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 01:39:55.51 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 01:51:04.23 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 01:54:49.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 02:05:58.68 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 02:09:43.33 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 02:20:53.07 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 02:24:37.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 02:35:47.13 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 02:39:31.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 02:50:41.55 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 02:54:25.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 03:05:35.75 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 03:09:19.00 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-06 03:20:29.91 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 03:24:12.96 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 03:35:23.91 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 03:39:06.94 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 03:50:17.71 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-06 03:54:00.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 04:05:11.75 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 04:08:54.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 04:20:05.89 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 04:23:48.72 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 04:34:59.90 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 04:38:42.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 04:49:54.11 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 04:53:36.74 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 05:08:30.77 00:00:00.20 HR 0000_0000000180843403 A1    2  4438
D 2017-06-06 05:19:42.13 00:00:00.00 HR 0000_0000000180843440 A2    1  8877
D 2017-06-06 05:23:24.99 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 05:34:36.15 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 05:38:19.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 05:49:30.20 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 05:53:13.05 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-06 06:04:24.00 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-06 06:08:07.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 06:19:18.16 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 06:23:01.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 06:34:11.92 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-06-06 06:37:55.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 06:49:06.08 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 06:52:49.12 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 07:04:00.06 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 07:07:43.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 07:18:54.22 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 07:22:37.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 07:33:48.19 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 07:37:31.23 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 07:48:42.37 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 07:52:25.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 08:03:36.34 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-06 08:07:19.17 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 08:18:30.71 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 08:22:13.14 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 08:33:24.88 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 08:37:07.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 08:48:19.25 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 08:52:01.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 09:03:13.43 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 09:06:55.06 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 09:18:07.84 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 09:21:49.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 09:33:02.23 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 09:36:43.06 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 09:47:56.41 00:00:00.20 HR 0000_0000000180843440 A2    2  4439
D 2017-06-06 09:51:36.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 10:02:50.62 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
