ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.95 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:16.74
Rx 0.20 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.26
Rx 0.21 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.77
Rx 0.21 Tx A1 0.95 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:18.29
Rx 0.21 Tx A1 0.94 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:18.80
Rx 0.23 Tx A1 0.91 A2 0.81                 EA 0.53   12.0 V     3.3 V   15:19:19.31
Rx 0.24 Tx A1 0.96 A2 0.81                 EA 0.56   12.0 V     3.3 V   15:19:19.82

>
2014-05-21 15:20:10.42 00:00:00.00 HR 0000_0000000180573731 A1   1 4149
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2 4149 DETECT
up  

>up
Upload #18
Reader: Noname  Site: AA
--------- upload 18 start ---------
E 2014-05-19 16:17:03.55 upload 17 complete
E 2014-05-19 16:23:50.71 parameter change: mux sequence '12'
D 2014-05-19 16:23:53.11 00:00:00.00 HR 0000_0000000181177673 A1    1   128
D 2014-05-19 16:23:54.02 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:23:54.93 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:23:55.77 00:00:00.00 HR 0000_0000000181177673 A1    1     9
D 2014-05-19 16:23:56.70 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:23:57.52 00:00:00.00 HR 0000_0000000181177673 A1    1     9
D 2014-05-19 16:23:58.45 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:23:59.37 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:24:00.20 00:00:00.00 HR 0000_0000000181177673 A1    1     9
D 2014-05-19 16:24:02.04 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:24:02.46 00:00:00.00 HR 0000_0000000181177673 A1    1     4
D 2014-05-19 16:24:03.38 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:24:04.29 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:24:05.13 00:00:00.00 HR 0000_0000000181177673 A1    1     9
D 2014-05-19 16:24:06.05 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:24:06.96 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:24:07.79 00:00:00.00 HR 0000_0000000181177673 A1    1     9
D 2014-05-19 16:24:08.71 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:24:09.63 00:00:00.00 HR 0000_0000000181177673 A1    1    10
D 2014-05-19 16:24:32.49 00:00:00.00 HA      900_226000080255 A1    1   274
D 2014-05-19 16:24:34.17 00:00:00.00 HA      900_226000080255 A1    1    19
D 2014-05-19 16:24:37.92 00:00:00.00 HA      900_226000080255 A1    1    44
D 2014-05-19 16:24:39.00 00:00:00.00 HA      900_226000080255 A1    1    12
D 2014-05-19 16:24:40.09 00:00:00.00 HA      900_226000080255 A1    1    12
E 2014-05-19 16:24:41.77 parameter change: mux sequence '1'
D 2014-05-19 16:25:01.36 00:00:00.00 HA      900_226000080255 A1    1   489
D 2014-05-19 16:25:02.53 00:00:00.00 HA      900_226000080255 A1    1    27
D 2014-05-19 16:25:03.61 00:00:00.00 HA      900_226000080255 A1    1    25
D 2014-05-19 16:25:04.78 00:00:00.00 HA      900_226000080255 A1    1    27
D 2014-05-19 16:25:05.86 00:00:00.00 HA      900_226000080255 A1    1    25
D 2014-05-19 16:25:07.03 00:00:00.00 HA      900_226000080255 A1    1    27
D 2014-05-19 16:25:08.20 00:00:00.00 HA      900_226000080255 A1    1    27
D 2014-05-19 16:25:09.28 00:00:00.00 HA      900_226000080255 A1    1    25
D 2014-05-19 16:25:10.45 00:00:00.00 HA      900_226000080255 A1    1    27
D 2014-05-19 16:34:32.35 00:00:00.00 HR 0000_0000000181177673 A1    1 13524
D 2014-05-19 16:35:56.69 00:00:00.00 HR 0000_0000000181177673 A1    1  2028
D 2014-05-19 16:35:57.52 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:35:58.44 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:35:59.28 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:36:00.28 00:00:00.00 HR 0000_0000000181177673 A1    1    23
D 2014-05-19 16:36:01.19 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:36:02.12 00:00:00.00 HR 0000_0000000181177673 A1    1    21
D 2014-05-19 16:36:02.94 00:00:00.00 HR 0000_0000000181177673 A1    1    19
D 2014-05-19 16:36:14.79 00:00:00.00 HA      900_226000080255 A1    1   284
D 2014-05-19 16:36:15.55 00:00:00.00 HA      900_226000080255 A1    1    17
E 2014-05-19 16:45:23.72 parameter change: mux sequence '12'
E 2014-05-19 16:45:38.72 parameter change: mux sequence '1'
D 2014-05-19 16:47:33.73 00:00:00.00 HR 0000_0000000181177673 A1    1 16147
D 2014-05-19 16:48:35.24 00:00:00.00 HR 0000_0000000181177673 A1    1  1479
D 2014-05-19 16:48:35.33 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.41 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.50 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.59 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.68 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.77 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.85 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.50 00:00:00.00 HR 0000_0000000181177673 A1    1    33
D 2014-05-19 16:48:35.59 00:00:00.00 HR 0000_0000000181177673 A1    1     1
