ad
                           supply                    supply     clock
                            amps                      volts     volts
                                A4 0.84 EA 3.66   12.1 V     3.3 V   14:43:10.85
Rx 0.22 Tx                 A3 0.88 A4 0.84 EA 0.54   12.1 V     3.3 V   14:43:11.38
Rx 0.20 Tx                 A3 0.88 A4 0.82 EA 0.52   12.1 V     3.3 V   14:43:11.89
Rx 0.21 Tx                 A3 0.88 A4 0.84 EA 0.53   12.1 V     3.3 V   14:43:12.41

>up
Upload #26
Reader: UPSTREAM 34  Site: Up
--------- upload 26 start ---------
E 2019-06-13 14:38:39.29 upload 25 complete
E 2019-06-13 14:53:50.19 supply power ok 12.5V
E 2019-06-13 14:53:50.19 database file opened
E 2019-06-13 14:53:50.19 starting reader after power up
D 2019-06-13 18:36:43.04 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 18:48:48.61 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 18:51:36.85 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 19:03:46.30 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 19:06:30.74 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 19:18:44.04 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 19:21:24.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-06-13 19:33:41.47 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 19:36:18.23 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-06-13 19:48:39.29 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-06-13 19:51:12.24 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 20:03:36.74 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 20:06:06.07 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 20:18:34.26 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 20:20:59.93 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 20:33:31.75 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 20:35:53.82 00:00:00.21 HR 0000_0000000180843403 A4    2  4438
D 2019-06-13 20:48:29.27 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 21:03:26.73 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 21:05:41.73 00:00:00.00 HR 0000_0000000180843403 A4    1  8877
D 2019-06-13 21:18:24.36 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 21:20:35.54 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 21:33:22.02 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-13 21:35:29.39 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-06-13 21:48:19.45 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 22:03:16.96 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 22:05:17.30 00:00:00.00 HR 0000_0000000180843403 A4    1  8877
D 2019-06-13 22:18:14.44 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 22:20:11.34 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-13 22:35:05.19 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
