ss
15.2 scans/second,  7.6 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 2 0 0
14.9 scans/second,  7.6 7.3 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 2 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 0 0 0
14.9 scans/second,  7.6 7.3 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 2 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 0 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 2 0 0

>ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.22 Tx A1 1.15 A2 1.19                 EA 0.87   12.5 V     3.3 V   15:45:54.46
Rx 0.20 Tx A1 1.16 A2 1.19                 EA 0.86   12.5 V     3.3 V   15:45:54.97
Rx 0.15 Tx A1 1.09 A2 1.18                 EA 0.82   12.5 V     3.3 V   15:45:55.49

>av
AV [supply voltage]

>

>ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.17 Tx A1 1.15 A2 1.19                 EA 0.85   12.5 V     3.3 V   15:46:18.14
Rx 0.15 Tx A1 1.15 A2 1.14                 EA 0.82   12.5 V     3.3 V   15:46:18.65
Rx 0.15 Tx A1 1.15 A2 1.17                 EA 0.83   12.5 V     3.3 V   15:46:19.17
Rx 0.17 Tx A1 1.15 A2 1.19                 EA 0.85   12.5 V     3.3 V   15:46:19.68
Rx 0.19 Tx A1 1.16 A2 1.19                 EA 0.86   12.5 V     3.3 V   15:46:20.20

>up
upload #52 start: 05/10/2013 13:04:59.82
Site code: JUL
--------- upload 52 start ---------
05/10/2013 13:04:59.82 upload 51 complete
05/10/2013 13:08:27.49 supply power ok 12.9V
05/10/2013 13:08:27.49 database file opened
05/10/2013 13:08:27.49 starting reader after power up
05/11/2013 01:35:28.70  00:00:00.00 R 0000_0000000180843403 A1    1  6771
05/11/2013 01:50:24.43  00:00:00.13 R 0000_0000000180843403 A1    2  6769
05/11/2013 01:55:39.47  00:00:00.13 R 0000_0000000180598569 A2    2 13992
05/11/2013 02:05:20.19  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/11/2013 02:20:16.08  00:00:00.00 R 0000_0000000180843403 A1    1  6769
05/11/2013 02:26:32.15  00:00:00.14 R 0000_0000000180598569 A2    2 13993
05/11/2013 02:35:11.85  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/11/2013 02:50:07.50  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/11/2013 02:57:24.87  00:00:00.15 R 0000_0000000180598569 A2    2 13995
05/11/2013 03:05:03.33  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/11/2013 03:19:59.14  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/11/2013 03:28:17.65  00:00:00.14 R 0000_0000000180598569 A2    2 13990
05/11/2013 03:34:54.92  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/11/2013 03:49:50.57  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/11/2013 03:59:10.43  00:00:00.14 R 0000_0000000180598569 A2    2 13995
05/11/2013 04:04:46.39  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/11/2013 04:19:42.31  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/11/2013 04:30:03.01  00:00:00.14 R 0000_0000000180598569 A2    2 13994
05/11/2013 04:34:37.98  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/11/2013 04:49:33.76  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/11/2013 05:00:55.70  00:00:00.14 R 0000_0000000180598569 A2    2 13992
05/11/2013 05:04:29.53  00:00:00.00 R 0000_0000000180843403 A1    1  6769
05/11/2013 05:19:25.24  00:00:00.00 R 0000_0000000180843403 A1    1  6771
05/11/2013 05:31:48.28  00:00:00.13 R 0000_0000000180598569 A2    2 13986
05/11/2013 05:34:20.81  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/11/2013 05:49:16.60  00:00:00.13 R 0000_0000000180843403 A1    2  6769
05/11/2013 06:02:41.01  00:00:00.14 R 0000_0000000180598569 A2    2 13984
05/11/2013 06:04:12.29  00:00:00.14 R 0000_0000000180843403 A1    2  6773
05/11/2013 06:19:08.00  00:00:00.13 R 0000_0000000180843403 A1    2  6770
05/11/2013 06:33:33.62  00:00:00.13 R 0000_0000000180598569 A2    2 13983
05/11/2013 06:34:03.73  00:00:00.14 R 0000_0000000180843403 A1    2  6771
05/11/2013 06:48:59.41  00:00:00.14 R 0000_0000000180843403 A1    2  6776
05/11/2013 06:50:15.98  00:00:00.82 R 0000_0000000178695701 A2    7  7559
05/11/2013 06:50:34.54  00:00:00.00 R 0000_0000000178695701 A2    1   133
05/11/2013 07:03:55.12  00:00:00.13 R 0000_0000000180843403 A1    2  6770
05/11/2013 07:04:26.29  00:00:00.14 R 0000_0000000180598569 A2    2  6279
05/11/2013 07:18:50.91  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/11/2013 07:33:46.46  00:00:00.13 R 0000_0000000180843403 A1    2  6769
05/11/2013 07:35:18.78  00:00:00.00 R 0000_0000000180598569 A2    1 13989
05/11/2013 07:48:42.33  00:00:00.00 R 0000_0000000180843403 A1    1  6769
05/11/2013 07:56:27.06  00:00:00.82 R 0000_0000000178695701 A2    7  9578
05/11/2013 07:56:28.15  00:00:00.41 R 0000_0000000178695701 A2    4     1
05/11/2013 07:56:38.50  00:00:00.14 R 0000_0000000178695701 A2    2    74
05/11/2013 07:56:41.95  00:00:00.54 R 0000_0000000178695701 A2    5    24
05/11/2013 08:03:38.00  00:00:00.14 R 0000_0000000180843403 A1    2  6770
05/11/2013 08:06:11.09  00:00:00.14 R 0000_0000000180598569 A2    2  4293
05/11/2013 08:18:33.66  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/11/2013 08:33:29.35  00:00:00.14 R 0000_0000000180843403 A1    2  6780
05/11/2013 08:37:03.71  00:00:00.14 R 0000_0000000180598569 A2    2 13972
