"file","date","time","datetime","antenna","tag","tag_short"
"3_20_19 Up.TXT",2019-03-19,"17:33:12.37",2019-03-19 17:33:12.36,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:33:13.18",2019-03-19 17:33:13.17,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:33:13.38",2019-03-19 17:33:13.38,"A4","0000_0000000180843403","180843403"
"3_20_19 Up.TXT",2019-03-19,"17:37:37.38",2019-03-19 17:37:37.38,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:37.98",2019-03-19 17:37:37.98,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:43.22",2019-03-19 17:37:43.22,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:43.61",2019-03-19 17:37:43.61,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:44.62",2019-03-19 17:37:44.61,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:45.04",2019-03-19 17:37:45.03,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:45.43",2019-03-19 17:37:45.42,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:47.24",2019-03-19 17:37:47.24,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:53.09",2019-03-19 17:37:53.09,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:53.28",2019-03-19 17:37:53.27,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:53.68",2019-03-19 17:37:53.67,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:54.30",2019-03-19 17:37:54.29,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:37:54.49",2019-03-19 17:37:54.49,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:01.34",2019-03-19 17:38:01.34,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:01.94",2019-03-19 17:38:01.94,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:02.35",2019-03-19 17:38:02.34,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:02.95",2019-03-19 17:38:02.95,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:12.01",2019-03-19 17:38:12.00,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:29.12",2019-03-19 17:38:29.11,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:29.33",2019-03-19 17:38:29.32,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:38:29.72",2019-03-19 17:38:29.72,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:09.17",2019-03-19 17:39:09.17,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:09.77",2019-03-19 17:39:09.76,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:10.38",2019-03-19 17:39:10.38,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:11.38",2019-03-19 17:39:11.38,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:11.98",2019-03-19 17:39:11.98,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:17.22",2019-03-19 17:39:17.22,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:17.82",2019-03-19 17:39:17.82,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:18.04",2019-03-19 17:39:18.03,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:18.43",2019-03-19 17:39:18.42,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:19.64",2019-03-19 17:39:19.63,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:20.05",2019-03-19 17:39:20.04,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:20.44",2019-03-19 17:39:20.44,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:52.05",2019-03-19 17:39:52.04,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:52.65",2019-03-19 17:39:52.65,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:39:54.86",2019-03-19 17:39:54.86,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:24.66",2019-03-19 17:40:24.65,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:26.28",2019-03-19 17:40:26.27,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:26.67",2019-03-19 17:40:26.67,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:28.49",2019-03-19 17:40:28.49,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:28.88",2019-03-19 17:40:28.88,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:34.13",2019-03-19 17:40:34.13,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:34.93",2019-03-19 17:40:34.92,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:35.73",2019-03-19 17:40:35.73,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:37.74",2019-03-19 17:40:37.74,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:43.19",2019-03-19 17:40:43.19,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:44.79",2019-03-19 17:40:44.78,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:46.41",2019-03-19 17:40:46.40,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:40:53.05",2019-03-19 17:40:53.04,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:41:03.32",2019-03-19 17:41:03.32,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:41:10.97",2019-03-19 17:41:10.97,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:41:13.20",2019-03-19 17:41:13.20,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:41:27.29",2019-03-19 17:41:27.28,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:41:28.49",2019-03-19 17:41:28.49,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"17:41:29.70",2019-03-19 17:41:29.70,"A3","0000_0000000000004896","000004896"
"3_20_19 Down.TXT",2019-03-19,"17:42:44.56",2019-03-19 17:42:44.55,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:42:45.77",2019-03-19 17:42:45.76,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:42:47.01",2019-03-19 17:42:47.00,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:42:58.83",2019-03-19 17:42:58.82,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:01.48",2019-03-19 17:43:01.48,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:14.94",2019-03-19 17:43:14.94,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:15.16",2019-03-19 17:43:15.15,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:15.56",2019-03-19 17:43:15.55,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:16.57",2019-03-19 17:43:16.57,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:17.19",2019-03-19 17:43:17.19,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:17.79",2019-03-19 17:43:17.78,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:21.88",2019-03-19 17:43:21.88,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:26.15",2019-03-19 17:43:26.15,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:38.38",2019-03-19 17:43:38.38,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:42.25",2019-03-19 17:43:42.25,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:43:48.78",2019-03-19 17:43:48.77,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:06.50",2019-03-19 17:44:06.50,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:11.01",2019-03-19 17:44:11.00,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:11.22",2019-03-19 17:44:11.22,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:11.41",2019-03-19 17:44:11.40,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:12.83",2019-03-19 17:44:12.82,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:13.06",2019-03-19 17:44:13.05,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:13.24",2019-03-19 17:44:13.24,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:13.65",2019-03-19 17:44:13.65,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:44:14.67",2019-03-19 17:44:14.67,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:45:54.30",2019-03-19 17:45:54.29,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:46:17.53",2019-03-19 17:46:17.52,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:46:19.37",2019-03-19 17:46:19.36,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:47:50.03",2019-03-19 17:47:50.02,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:48:06.33",2019-03-19 17:48:06.32,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:48:13.09",2019-03-19 17:48:13.09,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:48:13.47",2019-03-19 17:48:13.47,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"17:53:35.75",2019-03-19 17:53:35.75,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"17:53:43.91",2019-03-19 17:53:43.90,"A1","900_226000791727","000791727"
"3_20_19 Down.TXT",2019-03-19,"17:54:15.80",2019-03-19 17:54:15.79,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:00:08.80",2019-03-19 18:00:08.79,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"18:00:17.55",2019-03-19 18:00:17.54,"A1","900_226000791727","000791727"
"3_20_19 Down.TXT",2019-03-19,"18:00:35.15",2019-03-19 18:00:35.15,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:00:35.55",2019-03-19 18:00:35.54,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:00:37.00",2019-03-19 18:00:37.00,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:00:37.98",2019-03-19 18:00:37.98,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:00:38.03",2019-03-19 18:00:38.02,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:03:11.77",2019-03-19 18:03:11.76,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"18:07:13.97",2019-03-19 18:07:13.97,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"18:07:16.40",2019-03-19 18:07:16.40,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"18:07:26.97",2019-03-19 18:07:26.97,"A1","900_226000791727","000791727"
"3_20_19 Down.TXT",2019-03-19,"18:07:29.40",2019-03-19 18:07:29.40,"A1","900_226000791727","000791727"
"3_20_19 Down.TXT",2019-03-19,"18:16:32.91",2019-03-19 18:16:32.90,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"18:16:37.55",2019-03-19 18:16:37.54,"A1","900_226000791727","000791727"
"3_20_19 Down.TXT",2019-03-19,"18:16:52.15",2019-03-19 18:16:52.15,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:16:52.15",2019-03-19 18:16:52.15,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:16:54.16",2019-03-19 18:16:54.15,"A2","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"18:17:58.22",2019-03-19 18:17:58.22,"A4","0000_0000000180843403","180843403"
"3_20_19 Down.TXT",2019-03-19,"18:18:07.89",2019-03-19 18:18:07.88,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"18:18:21.39",2019-03-19 18:18:21.38,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"18:18:24.41",2019-03-19 18:18:24.40,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"18:18:33.67",2019-03-19 18:18:33.67,"A1","900_228000093612","000093612"
"3_20_19 Down.TXT",2019-03-19,"18:18:42.54",2019-03-19 18:18:42.53,"A1","900_226000791727","000791727"
"3_20_19 Down.TXT",2019-03-19,"18:18:57.35",2019-03-19 18:18:57.34,"A2","900_226000791733","000791733"
"3_20_19 Down.TXT",2019-03-19,"18:19:08.43",2019-03-19 18:19:08.42,"A2","0000_0000000000002321","000002321"
"3_20_19 Down.TXT",2019-03-19,"18:19:08.62",2019-03-19 18:19:08.61,"A2","0000_0000000000002321","000002321"
"3_20_19 Down.TXT",2019-03-19,"18:19:09.03",2019-03-19 18:19:09.02,"A2","0000_0000000000002321","000002321"
"3_20_19 Down.TXT",2019-03-19,"18:19:10.05",2019-03-19 18:19:10.04,"A2","0000_0000000000002321","000002321"
"3_20_19 Up.TXT",2019-03-19,"18:21:50.68",2019-03-19 18:21:50.67,"A4","900_228000093612","000093612"
"3_20_19 Up.TXT",2019-03-19,"18:21:55.12",2019-03-19 18:21:55.11,"A4","900_226000791727","000791727"
"3_20_19 Up.TXT",2019-03-19,"18:22:06.11",2019-03-19 18:22:06.11,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"18:22:06.70",2019-03-19 18:22:06.70,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"18:22:09.92",2019-03-19 18:22:09.92,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"18:22:13.15",2019-03-19 18:22:13.15,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"18:22:13.17",2019-03-19 18:22:13.17,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"18:22:13.56",2019-03-19 18:22:13.55,"A3","900_226000791733","000791733"
"3_20_19 Up.TXT",2019-03-19,"18:32:52.78",2019-03-19 18:32:52.77,"A4","0000_0000000180843403","180843403"
"3_20_19 Down.TXT",2019-03-19,"18:33:04.08",2019-03-19 18:33:04.07,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"18:34:04.42",2019-03-19 18:34:04.42,"A2","0000_0000000000002321","000002321"
"3_20_19 Up.TXT",2019-03-19,"18:47:47.30",2019-03-19 18:47:47.29,"A4","0000_0000000180843403","180843403"
"3_20_19 Down.TXT",2019-03-19,"18:48:00.22",2019-03-19 18:48:00.22,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"18:48:57.51",2019-03-19 18:48:57.50,"A2","0000_0000000000002321","000002321"
"3_20_19 Up.TXT",2019-03-19,"19:02:41.72",2019-03-19 19:02:41.72,"A4","0000_0000000180843403","180843403"
"3_20_19 Down.TXT",2019-03-19,"19:02:56.45",2019-03-19 19:02:56.45,"A1","0000_0000000180598569","180598569"
"3_20_19 Down.TXT",2019-03-19,"19:03:49.89",2019-03-19 19:03:49.88,"A2","0000_0000000000002321","000002321"
"3_20_19 Up.TXT",2019-03-19,"19:11:14.17",2019-03-19 19:11:14.17,"A3","0000_0000000000004896","000004896"
"3_20_19 Up.TXT",2019-03-19,"19:17:36.33",2019-03-19 19:17:36.32,"A4","0000_0000000180843403","180843403"
"3_20_19 Down.TXT",2019-03-19,"19:17:52.47",2019-03-19 19:17:52.47,"A1","0000_0000000180598569","180598569"
