"file","date","time","datetime","antenna","tag","tag_short","year"
"3_30_17 Down.TXT",2017-03-25,"01:01:33.94",2017-03-25 01:01:33.94,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"01:07:16.19",2017-03-25 01:07:16.19,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"01:12:03.55",2017-03-25 01:12:03.54,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"01:12:03.55",2017-03-25 01:12:03.54,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"01:12:43.52",2017-03-25 01:12:43.51,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"01:16:28.69",2017-03-25 01:16:28.69,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"01:16:28.69",2017-03-25 01:16:28.69,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"01:22:12.56",2017-03-25 01:22:12.55,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"01:26:56.94",2017-03-25 01:26:56.94,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"01:26:56.94",2017-03-25 01:26:56.94,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"01:27:39.92",2017-03-25 01:27:39.92,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"01:31:23.09",2017-03-25 01:31:23.09,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"01:31:23.09",2017-03-25 01:31:23.09,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"01:37:08.94",2017-03-25 01:37:08.94,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"01:41:50.29",2017-03-25 01:41:50.28,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"01:41:50.29",2017-03-25 01:41:50.28,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"01:42:36.49",2017-03-25 01:42:36.49,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"01:46:17.64",2017-03-25 01:46:17.63,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"01:46:17.64",2017-03-25 01:46:17.63,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"01:52:05.30",2017-03-25 01:52:05.29,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"01:56:43.85",2017-03-25 01:56:43.84,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"01:56:43.85",2017-03-25 01:56:43.84,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"01:57:33.06",2017-03-25 01:57:33.05,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"02:01:12.20",2017-03-25 02:01:12.20,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"02:01:12.20",2017-03-25 02:01:12.20,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"02:07:01.67",2017-03-25 02:07:01.67,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"02:11:37.19",2017-03-25 02:11:37.19,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"02:11:37.19",2017-03-25 02:11:37.19,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"02:12:29.40",2017-03-25 02:12:29.40,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"02:16:06.94",2017-03-25 02:16:06.94,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"02:16:06.94",2017-03-25 02:16:06.94,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"02:21:58.03",2017-03-25 02:21:58.02,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"02:26:30.56",2017-03-25 02:26:30.55,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"02:26:30.56",2017-03-25 02:26:30.55,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"02:27:25.77",2017-03-25 02:27:25.76,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"02:31:01.51",2017-03-25 02:31:01.50,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"02:31:01.51",2017-03-25 02:31:01.50,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"02:36:54.39",2017-03-25 02:36:54.38,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"02:41:23.90",2017-03-25 02:41:23.90,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"02:41:23.90",2017-03-25 02:41:23.90,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"02:42:22.13",2017-03-25 02:42:22.13,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"02:45:56.28",2017-03-25 02:45:56.27,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"02:45:56.28",2017-03-25 02:45:56.27,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"02:51:50.72",2017-03-25 02:51:50.72,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"02:56:17.43",2017-03-25 02:56:17.42,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"02:56:17.43",2017-03-25 02:56:17.42,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"02:57:18.67",2017-03-25 02:57:18.67,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"03:00:50.80",2017-03-25 03:00:50.79,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"03:00:50.80",2017-03-25 03:00:50.79,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"03:06:47.07",2017-03-25 03:06:47.07,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"03:11:10.78",2017-03-25 03:11:10.77,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"03:11:10.78",2017-03-25 03:11:10.77,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"03:12:15.03",2017-03-25 03:12:15.02,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"03:15:45.37",2017-03-25 03:15:45.36,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"03:15:45.37",2017-03-25 03:15:45.36,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"03:21:43.41",2017-03-25 03:21:43.40,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"03:26:04.11",2017-03-25 03:26:04.11,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"03:26:04.11",2017-03-25 03:26:04.11,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"03:27:11.17",2017-03-25 03:27:11.17,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"03:30:39.88",2017-03-25 03:30:39.88,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"03:30:39.88",2017-03-25 03:30:39.88,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"03:36:39.95",2017-03-25 03:36:39.95,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"03:40:57.45",2017-03-25 03:40:57.45,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"03:40:57.45",2017-03-25 03:40:57.45,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"03:42:07.52",2017-03-25 03:42:07.51,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"03:45:34.44",2017-03-25 03:45:34.44,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"03:45:34.44",2017-03-25 03:45:34.44,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"03:51:36.28",2017-03-25 03:51:36.27,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"03:55:50.76",2017-03-25 03:55:50.75,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"03:55:50.76",2017-03-25 03:55:50.75,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"03:57:03.83",2017-03-25 03:57:03.82,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"04:00:29.19",2017-03-25 04:00:29.19,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"04:00:29.19",2017-03-25 04:00:29.19,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"04:06:32.67",2017-03-25 04:06:32.67,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"04:10:43.92",2017-03-25 04:10:43.92,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"04:10:43.92",2017-03-25 04:10:43.92,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"04:12:00.40",2017-03-25 04:12:00.40,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"04:15:23.72",2017-03-25 04:15:23.72,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"04:15:23.72",2017-03-25 04:15:23.72,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"04:21:29.18",2017-03-25 04:21:29.17,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"04:25:37.23",2017-03-25 04:25:37.23,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"04:25:37.23",2017-03-25 04:25:37.23,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"04:26:56.73",2017-03-25 04:26:56.73,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"04:30:18.27",2017-03-25 04:30:18.26,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"04:30:18.27",2017-03-25 04:30:18.26,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"04:36:25.53",2017-03-25 04:36:25.52,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"04:40:30.56",2017-03-25 04:40:30.55,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"04:40:30.56",2017-03-25 04:40:30.55,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"04:41:53.26",2017-03-25 04:41:53.25,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"04:45:12.79",2017-03-25 04:45:12.78,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"04:45:12.79",2017-03-25 04:45:12.78,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"04:51:21.85",2017-03-25 04:51:21.84,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"04:55:23.90",2017-03-25 04:55:23.90,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"04:55:23.90",2017-03-25 04:55:23.90,"A2","0000_0000000180843440","180843440","2017"
"3_27_17 Up.TXT",2017-03-25,"04:56:49.61",2017-03-25 04:56:49.61,"A4","0000_0000000180573731","180573731","2017"
"3_27_17 Down.TXT",2017-03-25,"05:00:07.38",2017-03-25 05:00:07.38,"A1","0000_0000000180843403","180843403","2017"
"3_30_17 Down.TXT",2017-03-25,"05:00:07.38",2017-03-25 05:00:07.38,"A1","0000_0000000180843403","180843403","2017"
"3_27_17 Up.TXT",2017-03-25,"05:06:18.23",2017-03-25 05:06:18.23,"A3","0000_0000000180598569","180598569","2017"
"3_27_17 Down.TXT",2017-03-25,"05:10:17.26",2017-03-25 05:10:17.25,"A2","0000_0000000180843440","180843440","2017"
"3_30_17 Down.TXT",2017-03-25,"05:10:17.26",2017-03-25 05:10:17.25,"A2","0000_0000000180843440","180843440","2017"
