"tag_short","ping_time","antenna","tag_time","species"
"166985526",2012-04-15 14:01:20.11,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:20.11,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:23.23,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:23.23,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:23.82,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:23.82,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:27.55,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:27.55,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:56.15,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:56.15,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:56.75,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:56.75,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:59.48,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:59.48,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:59.86,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:01:59.86,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:20.29,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:20.29,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:20.90,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:20.90,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:28.34,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:28.34,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:28.95,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:28.95,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:29.55,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:29.55,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:53.11,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:53.11,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:53.71,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:53.71,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:58.04,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:58.04,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:58.65,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:02:58.65,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:03:06.29,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:03:06.29,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:03:06.69,"A4",2012-05-01 13:30:00,"Alewife"
"166985526",2012-04-15 14:03:06.69,"A4",2012-05-01 13:30:00,"Alewife"
"000011082",2012-04-30 23:38:10.11,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-04-30 23:38:10.11,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-04-30 23:38:18.36,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-04-30 23:38:18.36,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-04-30 23:38:31.34,"A1",2013-05-17 14:00:00,"Alewife"
"000011082",2012-04-30 23:38:31.34,"A1",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:15:53.84,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:15:54.46,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:16:08.25,"A1",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:16:08.65,"A1",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:16:22.24,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:16:22.83,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:16:29.88,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-05-01 00:16:30.49,"A4",2013-05-17 14:00:00,"Alewife"
"000011082",2012-06-25 15:39:00.94,"A4",2013-05-17 14:00:00,"Alewife"
"000010998",2012-06-18 11:21:53.00,"A1",2013-05-23 13:00:00,"Alewife"
"000010998",2012-06-18 11:22:06.00,"A1",2013-05-23 13:00:00,"Alewife"
"000010998",2012-06-18 11:22:32.00,"A1",2013-05-23 13:00:00,"Alewife"
"000010998",2012-06-18 11:22:39.00,"A1",2013-05-23 13:00:00,"Alewife"
"000010998",2012-06-18 11:22:45.00,"A1",2013-05-23 13:00:00,"Alewife"
"000010998",2012-06-18 11:22:49.00,"A1",2013-05-23 13:00:00,"Alewife"
"000010998",2012-06-18 11:22:52.00,"A1",2013-05-23 13:00:00,"Alewife"
