up6
Upload #6, 968 records
Reader: Noname  Site: AA
--------- upload 6 start ---------
E 2016-03-18 09:38:07.09 upload 5 complete
E 2016-03-18 09:41:16.11 parameter change: mux sequence '13'
D 2016-03-18 14:30:57.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-18 14:33:16.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-03-18 14:45:54.79 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-03-18 14:48:10.80 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-03-18 15:00:51.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-03-18 15:03:05.77 00:00:00.20 HR 0000_0000000180843403 A1    2  4444
D 2016-03-18 15:15:49.17 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2016-03-18 15:18:00.95 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-03-18 15:27:00.01 11.7V 0.20A 0.94A 0.00A 0.82A 0.00A  0N  0N  1N  
D 2016-03-18 15:30:46.34 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2016-03-18 15:32:55.91 00:00:00.21 HR 0000_0000000180843403 A1    2  4444
D 2016-03-18 15:45:43.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-03-18 15:47:51.11 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-18 16:00:40.75 00:00:00.21 HR 0000_0000000180573731 A3    2  4454
D 2016-03-18 16:02:46.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-18 16:15:37.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-03-18 16:17:41.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-18 16:30:34.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-03-18 16:32:36.46 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-03-18 16:45:31.54 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-03-18 16:47:31.64 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-03-18 17:00:28.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-03-18 17:02:26.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-18 17:15:25.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-03-18 17:17:22.04 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-18 17:30:21.57 00:00:00.20 HR 0000_0000000180573731 A3    2  4451
D 2016-03-18 17:32:17.45 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 17:45:18.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-03-18 17:47:12.64 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-18 18:00:14.61 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-03-18 18:02:08.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
E 2016-03-18 18:04:00.01 11.6V 0.20A 0.94A 0.00A 0.81A 0.00A  0N  0N  1N  
D 2016-03-18 18:15:11.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-03-18 18:17:03.46 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 18:30:07.22 00:00:00.00 HR 0000_0000000180573731 A3    1  4450
D 2016-03-18 18:31:58.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 18:45:03.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4449
D 2016-03-18 18:46:54.33 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
